Price,Tag,Time
6734.0,XBT/EUR,2018-04-15 22:47:37
6734.0,XBT/EUR,2018-04-15 22:47:40
6734.0,XBT/EUR,2018-04-15 22:47:42
6734.0,XBT/EUR,2018-04-15 22:47:50
6734.0,XBT/EUR,2018-04-15 22:48:00
6734.0,XBT/EUR,2018-04-15 22:48:10
6733.9,XBT/EUR,2018-04-15 22:49:10
6733.9,XBT/EUR,2018-04-15 22:49:11
6733.9,XBT/EUR,2018-04-15 22:49:19
6733.9,XBT/EUR,2018-04-15 22:49:29
6731.4,XBT/EUR,2018-04-15 22:49:39
6733.9,XBT/EUR,2018-04-15 22:49:50
6733.5,XBT/EUR,2018-04-15 22:49:59
6730.6,XBT/EUR,2018-04-15 22:50:09
6730.6,XBT/EUR,2018-04-15 22:50:19
6734.0,XBT/EUR,2018-04-15 22:50:29
6734.0,XBT/EUR,2018-04-15 22:50:39
6730.3,XBT/EUR,2018-04-15 22:50:49
6730.0,XBT/EUR,2018-04-15 22:50:59
6734.0,XBT/EUR,2018-04-15 22:51:09
6734.0,XBT/EUR,2018-04-15 22:51:20
6734.0,XBT/EUR,2018-04-15 22:51:30
6734.0,XBT/EUR,2018-04-15 22:51:35
6734.0,XBT/EUR,2018-04-15 22:51:37
6730.5,XBT/EUR,2018-04-15 22:51:45
6730.0,XBT/EUR,2018-04-15 22:51:55
6730.0,XBT/EUR,2018-04-15 22:51:57
6729.0,XBT/EUR,2018-04-15 22:52:05
6733.5,XBT/EUR,2018-04-15 22:52:16
6733.5,XBT/EUR,2018-04-15 22:52:25
6733.9,XBT/EUR,2018-04-15 22:52:35
6729.0,XBT/EUR,2018-04-15 22:52:45
6729.0,XBT/EUR,2018-04-15 22:52:55
6729.9,XBT/EUR,2018-04-15 22:53:05
6728.9,XBT/EUR,2018-04-15 22:53:15
6728.9,XBT/EUR,2018-04-15 22:53:25
6725.8,XBT/EUR,2018-04-15 22:53:41
6725.8,XBT/EUR,2018-04-15 22:53:42
6725.8,XBT/EUR,2018-04-15 22:53:50
6725.8,XBT/EUR,2018-04-15 22:54:00
6725.8,XBT/EUR,2018-04-15 22:54:10
6725.8,XBT/EUR,2018-04-15 22:54:21
6725.8,XBT/EUR,2018-04-15 22:54:30
6725.8,XBT/EUR,2018-04-15 22:54:31
6727.9,XBT/EUR,2018-04-15 22:54:40
6725.9,XBT/EUR,2018-04-15 22:54:50
6723.3,XBT/EUR,2018-04-15 22:55:00
6722.2,XBT/EUR,2018-04-15 22:55:10
6722.2,XBT/EUR,2018-04-15 22:55:20
6723.7,XBT/EUR,2018-04-15 22:55:30
6723.8,XBT/EUR,2018-04-15 22:55:40
6723.8,XBT/EUR,2018-04-15 22:55:50
6725.0,XBT/EUR,2018-04-15 22:56:00
6725.0,XBT/EUR,2018-04-15 22:56:10
6725.0,XBT/EUR,2018-04-15 22:56:20
6728.9,XBT/EUR,2018-04-15 22:56:30
6727.5,XBT/EUR,2018-04-15 22:56:45
6727.5,XBT/EUR,2018-04-15 22:56:46
6725.3,XBT/EUR,2018-04-15 22:56:55
6729.8,XBT/EUR,2018-04-15 22:57:25
6729.8,XBT/EUR,2018-04-15 22:57:35
6729.8,XBT/EUR,2018-04-15 22:57:39
6729.8,XBT/EUR,2018-04-15 22:57:41
6730.0,XBT/EUR,2018-04-15 22:57:49
6729.9,XBT/EUR,2018-04-15 23:01:10
6729.9,XBT/EUR,2018-04-15 23:01:11
6729.9,XBT/EUR,2018-04-15 23:01:30
6730.1,XBT/EUR,2018-04-15 23:03:31
6730.1,XBT/EUR,2018-04-15 23:03:40
6730.1,XBT/EUR,2018-04-15 23:03:45
6730.1,XBT/EUR,2018-04-15 23:03:47
6730.1,XBT/EUR,2018-04-15 23:03:55
6730.0,XBT/EUR,2018-04-15 23:04:05
6730.0,XBT/EUR,2018-04-15 23:04:15
6730.4,XBT/EUR,2018-04-15 23:04:25
6734.8,XBT/EUR,2018-04-15 23:04:35
6730.2,XBT/EUR,2018-04-15 23:04:46
6730.2,XBT/EUR,2018-04-15 23:04:55
6730.1,XBT/EUR,2018-04-15 23:05:05
6730.1,XBT/EUR,2018-04-15 23:05:15
6738.9,XBT/EUR,2018-04-15 23:11:26
6741.0,XBT/EUR,2018-04-15 23:12:06
6740.0,XBT/EUR,2018-04-15 23:13:46
6740.0,XBT/EUR,2018-04-15 23:14:36
6740.0,XBT/EUR,2018-04-15 23:14:45
6740.0,XBT/EUR,2018-04-15 23:14:51
6740.0,XBT/EUR,2018-04-15 23:14:52
6740.0,XBT/EUR,2018-04-15 23:15:01
6740.0,XBT/EUR,2018-04-15 23:15:11
6740.0,XBT/EUR,2018-04-15 23:15:21
6740.0,XBT/EUR,2018-04-15 23:17:37
6740.0,XBT/EUR,2018-04-15 23:17:38
6740.0,XBT/EUR,2018-04-15 23:17:46
6740.0,XBT/EUR,2018-04-15 23:17:56
6740.1,XBT/EUR,2018-04-15 23:18:06
6740.1,XBT/EUR,2018-04-15 23:19:55
6740.1,XBT/EUR,2018-04-15 23:19:56
6740.1,XBT/EUR,2018-04-15 23:20:34
6740.0,XBT/EUR,2018-04-15 23:21:56
6740.0,XBT/EUR,2018-04-15 23:22:04
6740.1,XBT/EUR,2018-04-15 23:22:55
6740.1,XBT/EUR,2018-04-15 23:22:56
6740.1,XBT/EUR,2018-04-15 23:23:05
6740.1,XBT/EUR,2018-04-15 23:23:22
6740.1,XBT/EUR,2018-04-15 23:23:23
6740.7,XBT/EUR,2018-04-15 23:23:31
6740.1,XBT/EUR,2018-04-15 23:23:41
6740.1,XBT/EUR,2018-04-15 23:23:52
6736.7,XBT/EUR,2018-04-15 23:25:08
6736.7,XBT/EUR,2018-04-15 23:25:09
6736.7,XBT/EUR,2018-04-15 23:25:17
6736.7,XBT/EUR,2018-04-15 23:25:27
6736.7,XBT/EUR,2018-04-15 23:25:28
6736.7,XBT/EUR,2018-04-15 23:25:36
6736.7,XBT/EUR,2018-04-15 23:25:47
6736.7,XBT/EUR,2018-04-15 23:25:48
6732.6,XBT/EUR,2018-04-15 23:25:56
6732.6,XBT/EUR,2018-04-15 23:26:06
6732.6,XBT/EUR,2018-04-15 23:26:16
6732.6,XBT/EUR,2018-04-15 23:26:26
6732.6,XBT/EUR,2018-04-15 23:26:36
6728.9,XBT/EUR,2018-04-15 23:26:46
6732.4,XBT/EUR,2018-04-15 23:26:56
6732.4,XBT/EUR,2018-04-15 23:27:06
6732.4,XBT/EUR,2018-04-15 23:27:16
6730.6,XBT/EUR,2018-04-15 23:27:26
6730.6,XBT/EUR,2018-04-15 23:27:36
6450.3,XBT/EUR,2018-04-16 16:46:07
6454.2,XBT/EUR,2018-04-16 16:46:09
6454.1,XBT/EUR,2018-04-16 16:46:13
6450.4,XBT/EUR,2018-04-16 16:46:15
6450.2,XBT/EUR,2018-04-16 16:46:23
6453.9,XBT/EUR,2018-04-16 16:46:33
6454.1,XBT/EUR,2018-04-16 16:46:43
6454.1,XBT/EUR,2018-04-16 16:46:53
6447.1,XBT/EUR,2018-04-16 16:47:03
6445.9,XBT/EUR,2018-04-16 16:47:13
6448.8,XBT/EUR,2018-04-16 16:48:57
6448.8,XBT/EUR,2018-04-16 16:48:59
6448.0,XBT/EUR,2018-04-16 16:50:41
6448.0,XBT/EUR,2018-04-16 16:50:42
6444.7,XBT/EUR,2018-04-16 16:56:31
6444.7,XBT/EUR,2018-04-16 16:56:33
6444.7,XBT/EUR,2018-04-16 16:56:35
6449.3,XBT/EUR,2018-04-16 17:01:53
6449.3,XBT/EUR,2018-04-16 17:01:55
6448.6,XBT/EUR,2018-04-16 17:02:04
6457.2,XBT/EUR,2018-04-16 17:04:34
6452.7,XBT/EUR,2018-04-16 17:04:39
6452.7,XBT/EUR,2018-04-16 17:04:40
6454.5,XBT/EUR,2018-04-16 17:05:07
6454.5,XBT/EUR,2018-04-16 17:05:08
6455.4,XBT/EUR,2018-04-16 17:05:16
6457.1,XBT/EUR,2018-04-16 17:06:05
6457.1,XBT/EUR,2018-04-16 17:06:07
6457.1,XBT/EUR,2018-04-16 17:06:15
6456.2,XBT/EUR,2018-04-16 17:06:25
6457.6,XBT/EUR,2018-04-16 17:07:35
6457.6,XBT/EUR,2018-04-16 17:07:36
6457.6,XBT/EUR,2018-04-16 17:07:44
6457.6,XBT/EUR,2018-04-16 17:07:54
6457.4,XBT/EUR,2018-04-16 17:10:59
6455.0,XBT/EUR,2018-04-16 17:12:00
6450.1,XBT/EUR,2018-04-16 17:12:03
6450.1,XBT/EUR,2018-04-16 17:12:04
6450.9,XBT/EUR,2018-04-16 17:15:32
6450.9,XBT/EUR,2018-04-16 17:15:34
6458.0,XBT/EUR,2018-04-16 17:16:40
6458.0,XBT/EUR,2018-04-16 17:16:42
6458.0,XBT/EUR,2018-04-16 17:16:50
6450.8,XBT/EUR,2018-04-16 17:17:00
6450.8,XBT/EUR,2018-04-16 17:17:14
6450.8,XBT/EUR,2018-04-16 17:17:15
6450.8,XBT/EUR,2018-04-16 17:17:23
6454.8,XBT/EUR,2018-04-16 17:17:55
6454.8,XBT/EUR,2018-04-16 17:17:57
6449.5,XBT/EUR,2018-04-16 17:18:09
6449.5,XBT/EUR,2018-04-16 17:18:10
6450.2,XBT/EUR,2018-04-16 17:18:19
6450.0,XBT/EUR,2018-04-16 17:19:28
6450.5,XBT/EUR,2018-04-16 17:20:06
6450.5,XBT/EUR,2018-04-16 17:20:07
6447.0,XBT/EUR,2018-04-16 17:21:24
6447.0,XBT/EUR,2018-04-16 17:21:25
6455.3,XBT/EUR,2018-04-16 17:34:45
6455.0,XBT/EUR,2018-04-16 17:35:54
6458.4,XBT/EUR,2018-04-16 17:35:59
